subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS05,audvisattn,1,1,1,0.955390334572491,0.91449814126394,257,246
HUBS05,epiproj,1,1,1,0.978308026030369,0.956616052060738,451,441
HUBS05,langlocaud,1,1,1,0.977358490566038,0.947169811320755,259,251
HUBS05,langlocvis,1,1,1,0.958490566037736,0.856603773584906,254,227
HUBS05,msit,1,1,1,0.955631399317406,0.921501706484642,280,270
HUBS05,tomfalse,1,1,1,0.979166666666667,0.941666666666667,235,226
HUBS05,verbalwm,1,1,1,0.91304347826087,0.81055900621118,294,261
HUBS05,vmsit,1,1,1,0.976109215017065,0.962457337883959,286,282
HUBS05,audvisattn,2,1,2,0.955390334572491,0.940520446096654,257,253
HUBS05,audviswm,2,1,1,0.967272727272727,0.945454545454545,266,260
HUBS05,epiproj,2,1,2,0.989154013015184,0.978308026030369,456,451
HUBS05,langlocaud,2,1,2,0.973584905660377,0.977358490566038,258,259
HUBS05,langlocvis,2,1,2,0.977358490566038,0.977358490566038,259,259
HUBS05,spatialwm,2,1,1,0.981927710843373,0.969879518072289,326,322
HUBS05,stroop,2,1,1,0.978494623655914,0.982078853046595,273,274
HUBS05,tomfalse,2,1,2,0.970833333333333,0.95,233,228
HUBS05,tompain,2,1,1,0.970833333333333,0.970833333333333,233,233
HUBS05,vmsit,2,1,2,0.938566552901024,0.911262798634812,275,267
HUBS05,audvisattn,3,1,3,0.973977695167286,0.966542750929368,262,260
HUBS05,audviswm,3,1,2,0.981818181818182,0.970909090909091,270,267
HUBS05,epiproj,3,1,3,0.986984815618221,0.960954446854664,455,443
HUBS05,langlocaud,3,1,3,0.932075471698113,0.939622641509434,247,249
HUBS05,langlocvis,3,1,3,0.981132075471698,0.981132075471698,260,260
HUBS05,spatialwm,3,1,2,0.962750716332378,0.954154727793696,336,333
HUBS05,stroop,3,1,2,0.978494623655914,0.946236559139785,273,264
HUBS05,tomfalse,3,1,3,0.979166666666667,0.970833333333333,235,233
HUBS05,tompain,3,1,2,0.9125,0.866666666666667,219,208
HUBS05,vmsit,3,1,3,0.965870307167236,0.955631399317406,283,280
HUBS05,audvisattn,4,1,4,0.977695167286245,0.977695167286245,263,263
HUBS05,audviswm,4,1,3,0.981818181818182,0.974545454545454,270,268
HUBS05,epiproj,4,1,4,0.924078091106291,0.893709327548807,426,412
HUBS05,langlocaud,4,1,4,0.969811320754717,0.932075471698113,257,247
HUBS05,langlocvis,4,1,4,0.973584905660377,0.928301886792453,258,246
HUBS05,msit,4,1,2,0.979522184300341,0.979522184300341,287,287
HUBS05,spatialwm,4,1,3,0.94269340974212,0.873925501432665,329,305
HUBS05,tomfalse,4,1,4,0.975,0.979166666666667,234,235
HUBS05,tompain,4,1,3,0.970833333333333,0.920833333333333,233,221
HUBS05,verbalwm,4,1,2,0.975155279503106,0.978260869565217,314,315
HUBS05,audvisattn,5,1,5,0.981412639405205,0.981412639405205,264,264
HUBS05,audviswm,5,1,4,0.978181818181818,0.963636363636364,269,265
HUBS05,epiproj,5,1,5,0.937093275488069,0.882863340563991,432,407
HUBS05,langlocaud,5,1,5,0.969811320754717,0.947169811320755,257,251
HUBS05,langlocvis,5,1,5,0.977358490566038,0.932075471698113,259,247
HUBS05,msit,5,1,3,0.979522184300341,0.982935153583618,287,288
HUBS05,spatialwm,5,1,4,0.982808022922636,0.98567335243553,343,344
HUBS05,stroop,5,1,3,0.978494623655914,0.974910394265233,273,272
HUBS05,verbalwm,5,1,3,0.956521739130435,0.953416149068323,308,307
HUBS05,audvisattn,6,1,6,0.973977695167286,0.970260223048327,262,261
HUBS05,audviswm,6,1,5,0.978181818181818,0.974545454545454,269,268
HUBS05,epiproj,6,1,6,0.986984815618221,0.958785249457701,455,442
HUBS05,langlocvis,6,1,6,0.977358490566038,0.973584905660377,259,258
HUBS05,msit,6,1,4,0.979522184300341,0.969283276450512,287,284
HUBS05,stroop,6,1,4,0.974910394265233,0.939068100358423,272,262
HUBS05,verbalwm,6,1,4,0.981366459627329,0.972049689440994,316,313
HUBS05,vmsit,6,1,4,0.979522184300341,0.962457337883959,287,282
